"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
"SMED30018781",0,2.46735108535677,0.607,0.085,0,"AP-1","SMED30018781"
"SMED30002175",1.47104100987992e-296,1.36695278462643,0.373,0.03,4.0694878497318e-292,"AP-1","SMED30002175"
"SMED30027240",1.70354914097838e-274,0.479109392467204,0.172,0.003,4.71269834360258e-270,"AP-1","SMED30027240"
"SMED30014191",6.20813128187648e-262,1.1707742927552,0.51,0.079,1.71741743781831e-257,"AP-1","SMED30014191"
"SMED30008433",1.27198232799709e-250,0.869968981546454,0.154,0.002,3.51881191217114e-246,"AP-1","SMED30008433"
"SMED30029487",6.93798591662907e-200,0.918278165300036,0.614,0.161,1.91932442397627e-195,"AP-1","SMED30029487"
"SMED30021870",8.1759511398914e-187,0.377717857005973,0.225,0.017,2.26179512333956e-182,"AP-1","SMED30021870"
"SMED30034460",4.0722640146936e-181,1.01955058170725,0.146,0.005,1.12655111702484e-176,"AP-1","SMED30034460"
"SMED30027307",2.09793286314367e-154,3.22375501997527,0.852,0.556,5.80372147260066e-150,"AP-1","SMED30027307"
"SMED30029574",1.25353661735489e-150,0.280432240898769,0.168,0.011,3.46778369825058e-146,"AP-1","SMED30029574"
"SMED30027886",4.68569655702109e-147,3.83603057662842,0.609,0.221,1.29625109553432e-142,"AP-1","SMED30027886"
"SMED30012961",7.63384248779388e-135,1.05003540825504,0.124,0.006,2.1118261858233e-130,"AP-1","SMED30012961"
"SMED30001387",7.15959349489987e-133,1.01733530564612,0.229,0.027,1.9806299444291e-128,"AP-1","SMED30001387"
"SMED30016909",3.36742807189266e-132,0.255361851649898,0.172,0.014,9.31565301808386e-128,"AP-1","SMED30016909"
"SMED30025454",7.79526024158829e-131,2.41637967729888,0.717,0.343,2.15648079323298e-126,"AP-1","SMED30025454"
"SMED30015214",2.26470034484675e-127,0.479134432485425,0.245,0.033,6.26506703398404e-123,"AP-1","SMED30015214"
"SMED30027919",4.60819202244298e-125,2.23377268120119,0.514,0.157,1.27481024108863e-120,"AP-1","SMED30027919"
"SMED30005734",2.24166508944654e-123,0.418944021385949,0.11,0.005,6.2013423034449e-119,"AP-1","SMED30005734"
"SMED30019619",5.15587511858682e-122,0.485056114407259,0.335,0.065,1.42632129280586e-117,"AP-1","SMED30019619"
"SMED30018449",9.37550737133703e-121,0.345097550295999,0.199,0.022,2.59364035920667e-116,"AP-1","SMED30018449"
"SMED30026628",4.42086584492632e-119,0.305626055496718,0.154,0.012,1.22298832734042e-114,"AP-1","SMED30026628"
"SMED30002969",1.38301368274537e-117,0.556022515215104,0.227,0.03,3.8259690519468e-113,"AP-1","SMED30002969"
"SMED30023762",2.04967559670058e-117,-3.20662338125611,0.338,0.783,5.67022257071247e-113,"AP-1","SMED30023762"
"SMED30002272",5.79538700836046e-116,0.296176796962501,0.174,0.017,1.60323586199284e-111,"AP-1","SMED30002272"
"SMED30017461",1.44563290522399e-115,-2.81421257327305,0.42,0.841,3.99919886901163e-111,"AP-1","SMED30017461"
"SMED30003863",2.73322714599432e-115,1.27681149998667,0.874,0.759,7.56119957667868e-111,"AP-1","SMED30003863"
"SMED30013776",8.17396968715703e-115,-3.72209055788843,0.391,0.792,2.26124697425512e-110,"AP-1","SMED30013776"
"SMED30029969",3.36840689188116e-111,-3.30608158039654,0.272,0.725,9.31836082570004e-107,"AP-1","SMED30029969"
"SMED30029231",1.17359011407262e-109,-2.63641200492964,0.291,0.759,3.24661969157049e-105,"AP-1","SMED30029231"
"SMED30015920",2.57743965573731e-108,-2.64268013641272,0.439,0.836,7.13022906363169e-104,"AP-1","SMED30015920"
"SMED30017506",6.30579440973668e-106,-2.11241594323355,0.179,0.677,1.74443496550955e-101,"AP-1","SMED30017506"
"SMED30031632",1.75890943005749e-105,0.701051485934215,0.236,0.036,4.86584704731103e-101,"AP-1","SMED30031632"
"SMED30006063",7.66039372624427e-105,-2.17174108973725,0.367,0.798,2.11917132042822e-100,"AP-1","SMED30006063"
"SMED30009662",7.67962940158459e-105,1.34260827581498,0.501,0.168,2.12449267765436e-100,"AP-1","SMED30009662"
"SMED30015977",4.40932172196341e-103,-2.25165967960989,0.307,0.757,1.21979476116396e-98,"AP-1","SMED30015977"
