"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
"SMED30022580",1.60003803014565e-176,0.55924699886723,0.479,0.045,4.42634520659491e-172,"AP-2","SMED30022580"
"SMED30002027",2.6504422557757e-123,1.98818557335049,0.627,0.125,7.33218345637789e-119,"AP-2","SMED30002027"
"SMED30030461",1.48050405921142e-116,3.4122225781575,0.894,0.363,4.09566642940248e-112,"AP-2","SMED30030461"
"SMED30009662",1.88301667513765e-102,3.59565477904432,0.915,0.492,5.20917733010079e-98,"AP-2","SMED30009662"
"SMED30002331",1.91205986259712e-92,1.70686466636187,0.712,0.218,5.28952240388868e-88,"AP-2","SMED30002331"
"SMED30007522",3.27980243934039e-75,2.72161742431548,0.992,0.958,9.07324546819127e-71,"AP-2","SMED30007522"
"SMED30030540",5.63593284350819e-73,2.75577163224174,0.996,0.953,1.55912446182811e-68,"AP-2","SMED30030540"
"SMED30002753",1.8121525345917e-67,1.59346960590171,0.898,0.644,5.01313877169448e-63,"AP-2","SMED30002753"
"SMED30020317",5.63737845988113e-61,0.679388635693047,0.996,0.997,1.55952437714152e-56,"AP-2","SMED30020317"
"SMED30020703",7.88850430393163e-61,1.57233568710209,0.847,0.438,2.18227583063965e-56,"AP-2","SMED30020703"
"SMED30005347",5.7801302821457e-60,0.270188201947537,0.191,0.02,1.59901524125279e-55,"AP-2","SMED30005347"
"SMED30030778",2.60363841503094e-59,1.38349839276524,0.801,0.379,7.20270531134158e-55,"AP-2","SMED30030778"
"SMED30008911",7.71804459971119e-59,1.37559126895801,0.97,0.922,2.1351198580641e-54,"AP-2","SMED30008911"
"SMED30034500",1.27641089532323e-57,0.697901052646611,0.627,0.235,3.53106310082218e-53,"AP-2","SMED30034500"
"SMED30002330",4.15582788943287e-56,1.25447972059581,0.758,0.341,1.14966822733271e-51,"AP-2","SMED30002330"
"SMED30025830",5.38533891811871e-55,0.706318086327548,0.987,0.996,1.48980015830836e-50,"AP-2","SMED30025830"
"SMED30015512",3.12396802651958e-54,1.18331408452056,0.576,0.198,8.64214514856376e-50,"AP-2","SMED30015512"
"SMED30019357",8.3396883880783e-54,-4.03497032621518,0.941,0.981,2.30709139567798e-49,"AP-2","SMED30019357"
"SMED30028497",8.40058743337009e-54,0.700854720821016,0.975,0.977,2.3239385075675e-49,"AP-2","SMED30028497"
"SMED30019619",1.21046104428285e-53,2.08081767023329,0.22,0.031,3.34861943290407e-49,"AP-2","SMED30019619"
"SMED30034930",1.42664558317138e-53,1.38059978733381,0.928,0.639,3.9466723412853e-49,"AP-2","SMED30034930"
"SMED30002195",3.43416941133675e-50,-2.93071517230687,0.364,0.752,9.50028625952198e-46,"AP-2","SMED30002195"
"SMED30019930",2.05780567543122e-49,-3.24699739688335,0.699,0.897,5.69271362051293e-45,"AP-2","SMED30019930"
"SMED30025808",1.77022781277739e-48,1.83187122191669,0.932,0.807,4.89715822126738e-44,"AP-2","SMED30025808"
"SMED30004922",4.61650432336564e-48,-3.51684265819297,0.869,0.966,1.27710975601587e-43,"AP-2","SMED30004922"
"SMED30007813",1.69471974241691e-47,-3.25791088079211,0.555,0.838,4.68827269542213e-43,"AP-2","SMED30007813"
"SMED30033611",2.26116582646399e-47,1.14327680055011,0.881,0.591,6.25528914232998e-43,"AP-2","SMED30033611"
"SMED30025067",4.63838342286456e-47,0.941709444368757,0.975,0.994,1.28316239010125e-42,"AP-2","SMED30025067"
"SMED30010837",1.80654939334418e-46,0.63502113077599,0.432,0.123,4.99763824174733e-42,"AP-2","SMED30010837"
"SMED30005188",2.27843613756296e-45,-3.46710417709937,0.822,0.929,6.30306573095418e-41,"AP-2","SMED30005188"
"SMED30019680",3.41004434757253e-45,-3.23787355185847,0.767,0.908,9.43354668312465e-41,"AP-2","SMED30019680"
"SMED30011041",1.00096921058747e-44,0.846657362322016,0.992,0.994,2.76908122416918e-40,"AP-2","SMED30011041"
"SMED30022628",1.05037871572184e-44,0.93627356007627,0.983,0.962,2.90576767917289e-40,"AP-2","SMED30022628"
"SMED30008579",3.73778287393009e-44,0.656765139205607,0.975,0.98,1.03402025424402e-39,"AP-2","SMED30008579"
"SMED30025332",2.39290373856451e-43,0.643139073889361,0.983,0.991,6.61972890236486e-39,"AP-2","SMED30025332"
"SMED30034279",6.57346689372092e-43,1.07754413496872,0.843,0.541,1.81848388147895e-38,"AP-2","SMED30034279"
"SMED30035042",2.12125084980016e-42,0.542079116851073,0.487,0.163,5.86822835088717e-38,"AP-2","SMED30035042"
"SMED30015167",2.59588431379333e-42,0.640152945395214,0.496,0.173,7.18125436567786e-38,"AP-2","SMED30015167"
"SMED30031572",3.04529079738167e-40,-2.07518816656163,0.309,0.696,8.42449246187665e-36,"AP-2","SMED30031572"
"SMED30016244",3.65661380451993e-40,2.52080714453336,0.479,0.169,1.01156564288239e-35,"AP-2","SMED30016244"
"SMED30005874",1.6364631236343e-39,-1.29778324494207,0.267,0.655,4.52711158522193e-35,"AP-2","SMED30005874"
"SMED30030829",1.18816882102434e-38,0.443965198554553,0.996,0.996,3.28695022648172e-34,"AP-2","SMED30030829"
"SMED30013692",2.67821621019154e-38,0.491524659466329,0.996,0.998,7.40901732387387e-34,"AP-2","SMED30013692"
"SMED30018393",9.06395533575544e-38,0.541417445215484,0.436,0.145,2.50745260408339e-33,"AP-2","SMED30018393"
"SMED30019227",9.09376409435415e-38,-1.77435377489196,0.225,0.621,2.51569889906213e-33,"AP-2","SMED30019227"
"SMED30029542",1.60274946609528e-37,0.585028273334654,0.953,0.973,4.43384612300599e-33,"AP-2","SMED30029542"
"SMED30011400",8.11121089190705e-37,0.463904185659222,0.305,0.074,2.24388538113717e-32,"AP-2","SMED30011400"
"SMED30029960",1.66473399469575e-36,0.646169676690442,0.987,0.989,4.60532012292633e-32,"AP-2","SMED30029960"
"SMED30030477",2.54210820675014e-36,0.679940643242415,0.928,0.94,7.03248814315359e-32,"AP-2","SMED30030477"
"SMED30030809",7.80849885969862e-36,0.399353776473889,0.377,0.114,2.16014312454703e-31,"AP-2","SMED30030809"
"SMED30027690",1.29198136602735e-35,0.343689191150937,0.5,0.196,3.57413725097806e-31,"AP-2","SMED30027690"
"SMED30025738",1.3223865115284e-35,0.545702907757977,0.953,0.977,3.65825004549216e-31,"AP-2","SMED30025738"
"SMED30011307",2.77612521449423e-34,1.63328293690844,0.508,0.207,7.67987279337685e-30,"AP-2","SMED30011307"
"SMED30026378",5.77785664153646e-34,-1.40928710484091,0.131,0.532,1.59838626131465e-29,"AP-2","SMED30026378"
"SMED30035391",5.33722830931358e-33,0.293667739486483,0.407,0.132,1.47649083948851e-28,"AP-2","SMED30035391"
"SMED30033007",7.26282733649214e-33,0.572497468508133,0.983,0.97,2.00918855436718e-28,"AP-2","SMED30033007"
"SMED30012544",9.72236255332805e-33,-2.45168666322976,0.475,0.74,2.68959437675267e-28,"AP-2","SMED30012544"
"SMED30026539",3.35477109694512e-32,0.770262533506056,0.949,0.966,9.28063876258899e-28,"AP-2","SMED30026539"
"SMED30008009",7.55965931018243e-32,-2.22556276977159,0.246,0.601,2.09130415156887e-27,"AP-2","SMED30008009"
"SMED30008508",8.58208409870124e-32,0.661738311515191,0.941,0.941,2.37414774506471e-27,"AP-2","SMED30008508"
"SMED30008350",8.94186360500466e-32,0.324594138329667,0.275,0.069,2.47367714768849e-27,"AP-2","SMED30008350"
"SMED30005126",1.48890141615537e-31,-2.57171026122543,0.267,0.614,4.1188968776522e-27,"AP-2","SMED30005126"
"SMED30012075",4.00436888555667e-31,0.585445926627546,0.987,0.993,1.1077686085004e-26,"AP-2","SMED30012075"
"SMED30012932",1.90618559953779e-30,-2.39544629478671,0.432,0.722,5.27327184256133e-26,"AP-2","SMED30012932"
"SMED30026811",3.33709189074507e-30,-1.93364306301776,0.127,0.497,9.23173100655717e-26,"AP-2","SMED30026811"
"SMED30013808",3.46768957887327e-30,0.613517267114574,0.86,0.741,9.59301645099503e-26,"AP-2","SMED30013808"
"SMED30021380",2.38466805914796e-29,-2.52861471199694,0.407,0.702,6.59694571882691e-25,"AP-2","SMED30021380"
"SMED30030310",3.3358890256003e-29,0.653562832564665,0.86,0.759,9.22840340042068e-25,"AP-2","SMED30030310"
"SMED30035146",4.29784426268481e-29,-1.34860946564496,0.106,0.477,1.18895563682913e-24,"AP-2","SMED30035146"
"SMED30014724",7.38537290669005e-29,0.771868777748447,0.953,0.927,2.04308956090673e-24,"AP-2","SMED30014724"
"SMED30022639",1.02037039173982e-28,-1.6285868704348,0.161,0.521,2.82275265170904e-24,"AP-2","SMED30022639"
"SMED30010228",2.02649442796542e-28,-2.29415022647144,0.398,0.67,5.60609418552354e-24,"AP-2","SMED30010228"
"SMED30013776",2.59372605614825e-28,-3.25277295403334,0.475,0.726,7.17528376172852e-24,"AP-2","SMED30013776"
"SMED30015115",3.24371125795466e-28,0.530129300064068,0.928,0.953,8.97340282400578e-24,"AP-2","SMED30015115"
