"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
"SMED30007406",0,2.88477642244482,0.998,0.438,0,"Neoblast","SMED30007406"
"SMED30031463",0,2.54780345358576,0.964,0.412,0,"Neoblast","SMED30031463"
"SMED30033565",0,2.22760175236165,0.914,0.103,0,"Neoblast","SMED30033565"
"SMED30021808",0,2.11509843746157,0.864,0.088,0,"Neoblast","SMED30021808"
"SMED30010297",0,2.10738880862053,0.886,0.084,0,"Neoblast","SMED30010297"
"SMED30032563",0,2.08054400976284,0.851,0.073,0,"Neoblast","SMED30032563"
"SMED30022444",0,2.05851204822872,0.935,0.288,0,"Neoblast","SMED30022444"
"SMED30019803",0,1.96349875530142,0.997,0.717,0,"Neoblast","SMED30019803"
"SMED30004304",0,1.94924862893151,0.834,0.07,0,"Neoblast","SMED30004304"
"SMED30010115",0,1.93914473801382,0.942,0.226,0,"Neoblast","SMED30010115"
"SMED30030234",0,1.87341988913567,0.932,0.3,0,"Neoblast","SMED30030234"
"SMED30029973",0,1.77886111163003,0.876,0.161,0,"Neoblast","SMED30029973"
"SMED30022978",0,1.77460285421178,0.926,0.368,0,"Neoblast","SMED30022978"
"SMED30033600",0,1.75078076564811,0.791,0.062,0,"Neoblast","SMED30033600"
"SMED30002436",0,1.74801016017338,0.844,0.073,0,"Neoblast","SMED30002436"
"SMED30012293",0,1.73732362218593,0.953,0.492,0,"Neoblast","SMED30012293"
"SMED30013909",0,1.7332616251106,0.973,0.536,0,"Neoblast","SMED30013909"
"SMED30032645",0,1.71608326843688,0.968,0.502,0,"Neoblast","SMED30032645"
"SMED30019011",0,1.71587057913773,0.83,0.098,0,"Neoblast","SMED30019011"
"SMED30030946",0,1.71487740868502,0.777,0.048,0,"Neoblast","SMED30030946"
"SMED30006979",0,1.69887318255993,0.769,0.059,0,"Neoblast","SMED30006979"
"SMED30025780",0,1.69174905147412,0.911,0.186,0,"Neoblast","SMED30025780"
"SMED30033663",0,1.64819726127094,0.826,0.074,0,"Neoblast","SMED30033663"
"SMED30030295",0,1.63312583558652,0.842,0.085,0,"Neoblast","SMED30030295"
"SMED30023062",0,1.63228740180784,0.933,0.332,0,"Neoblast","SMED30023062"
"SMED30014394",0,1.62013859893004,0.8,0.057,0,"Neoblast","SMED30014394"
"SMED30023821",0,1.61225198122994,0.769,0.052,0,"Neoblast","SMED30023821"
"SMED30027562",0,1.60711059423695,0.925,0.415,0,"Neoblast","SMED30027562"
"SMED30029741",0,1.60607918391695,0.95,0.452,0,"Neoblast","SMED30029741"
"SMED30009016",0,1.60039425500175,0.829,0.153,0,"Neoblast","SMED30009016"
"SMED30015686",0,1.60013898963067,0.933,0.282,0,"Neoblast","SMED30015686"
"SMED30012458",0,1.59287305518038,0.762,0.057,0,"Neoblast","SMED30012458"
"SMED30012735",0,1.57956410861645,0.77,0.058,0,"Neoblast","SMED30012735"
"SMED30028420",0,1.56401594548993,0.866,0.257,0,"Neoblast","SMED30028420"
"SMED30021509",0,1.55997251682978,0.809,0.109,0,"Neoblast","SMED30021509"
"SMED30027258",0,1.55129041142495,0.894,0.273,0,"Neoblast","SMED30027258"
"SMED30034520",0,1.50219569679845,0.806,0.093,0,"Neoblast","SMED30034520"
"SMED30018716",0,1.49537978475724,0.929,0.346,0,"Neoblast","SMED30018716"
"SMED30001485",0,1.47198998378877,0.876,0.284,0,"Neoblast","SMED30001485"
"SMED30014446",0,1.47155467067924,0.999,0.914,0,"Neoblast","SMED30014446"
"SMED30004593",0,1.45123455772448,0.768,0.077,0,"Neoblast","SMED30004593"
"SMED30035193",0,1.44501781299786,1,0.964,0,"Neoblast","SMED30035193"
"SMED30034422",0,1.44469274482227,0.747,0.061,0,"Neoblast","SMED30034422"
"SMED30027566",0,1.43767616573618,0.741,0.056,0,"Neoblast","SMED30027566"
"SMED30006065",0,1.41285935301964,0.709,0.047,0,"Neoblast","SMED30006065"
"SMED30027419",0,1.40669225788416,0.656,0.03,0,"Neoblast","SMED30027419"
"SMED30023035",0,1.40155104341828,0.732,0.061,0,"Neoblast","SMED30023035"
"SMED30004136",0,1.39763534790991,0.747,0.069,0,"Neoblast","SMED30004136"
"SMED30018987",0,1.39228791409745,0.711,0.037,0,"Neoblast","SMED30018987"
"SMED30031782",0,1.38257467400249,0.851,0.153,0,"Neoblast","SMED30031782"
"SMED30012240",0,1.38194696479134,0.976,0.622,0,"Neoblast","SMED30012240"
"SMED30014813",0,1.3789708145139,0.976,0.54,0,"Neoblast","SMED30014813"
"SMED30005932",0,1.36988951548198,0.885,0.301,0,"Neoblast","SMED30005932"
"SMED30009032",0,1.34181122130655,0.796,0.13,0,"Neoblast","SMED30009032"
"SMED30003764",0,1.32635505986256,0.934,0.35,0,"Neoblast","SMED30003764"
"SMED30031929",0,1.32069889031094,0.891,0.309,0,"Neoblast","SMED30031929"
"SMED30021461",0,1.31970022084289,0.94,0.386,0,"Neoblast","SMED30021461"
"SMED30027770",0,1.30309235866084,0.834,0.204,0,"Neoblast","SMED30027770"
"SMED30010906",0,1.30203428977577,0.791,0.146,0,"Neoblast","SMED30010906"
"SMED30017680",0,1.28567867466729,0.563,0.04,0,"Neoblast","SMED30017680"
"SMED30033785",0,1.28272673344791,0.978,0.661,0,"Neoblast","SMED30033785"
"SMED30014447",0,1.27892345441668,0.783,0.131,0,"Neoblast","SMED30014447"
"SMED30016975",0,1.26840565286267,0.835,0.211,0,"Neoblast","SMED30016975"
"SMED30007343",0,1.25303614649449,0.851,0.277,0,"Neoblast","SMED30007343"
"SMED30031380",0,1.23319828936362,0.911,0.387,0,"Neoblast","SMED30031380"
"SMED30002703",0,1.21391754686371,0.995,0.794,0,"Neoblast","SMED30002703"
"SMED30029203",0,1.21082778386627,0.828,0.183,0,"Neoblast","SMED30029203"
"SMED30027407",0,1.20202236711343,0.97,0.741,0,"Neoblast","SMED30027407"
"SMED30026659",0,1.19942888397142,0.657,0.067,0,"Neoblast","SMED30026659"
"SMED30005246",0,1.19844439889111,0.68,0.05,0,"Neoblast","SMED30005246"
"SMED30030198",0,1.18502912187407,0.924,0.35,0,"Neoblast","SMED30030198"
"SMED30014560",0,1.18087381905807,0.955,0.679,0,"Neoblast","SMED30014560"
"SMED30025522",0,1.17830890622476,0.99,0.849,0,"Neoblast","SMED30025522"
"SMED30008579",0,1.17386148151155,0.959,0.637,0,"Neoblast","SMED30008579"
"SMED30018579",0,1.15951196187616,0.641,0.043,0,"Neoblast","SMED30018579"
"SMED30026367",0,1.15398247758311,0.921,0.491,0,"Neoblast","SMED30026367"
"SMED30001362",0,1.15388092250808,0.996,0.807,0,"Neoblast","SMED30001362"
"SMED30009035",0,1.14957066136978,0.948,0.596,0,"Neoblast","SMED30009035"
"SMED30022314",0,1.14356677282776,0.841,0.276,0,"Neoblast","SMED30022314"
"SMED30034617",0,1.13073947328593,0.842,0.307,0,"Neoblast","SMED30034617"
"SMED30028337",0,1.12089679356021,0.951,0.564,0,"Neoblast","SMED30028337"
"SMED30030543",0,1.11189348513694,0.643,0.054,0,"Neoblast","SMED30030543"
"SMED30010227",0,1.11128895483475,0.948,0.599,0,"Neoblast","SMED30010227"
"SMED30013268",0,1.10164400518549,0.618,0.037,0,"Neoblast","SMED30013268"
"SMED30022404",0,1.09345020705322,0.759,0.159,0,"Neoblast","SMED30022404"
"SMED30013233",0,1.08508111838706,0.998,0.897,0,"Neoblast","SMED30013233"
"SMED30031477",0,1.08275563705511,0.607,0.031,0,"Neoblast","SMED30031477"
"SMED30024887",0,1.07868636588321,0.973,0.694,0,"Neoblast","SMED30024887"
"SMED30020057",0,1.0783724614769,0.846,0.27,0,"Neoblast","SMED30020057"
"SMED30027482",0,1.07495903752497,0.851,0.286,0,"Neoblast","SMED30027482"
"SMED30003593",0,1.07126010625147,0.928,0.475,0,"Neoblast","SMED30003593"
"SMED30024735",0,1.07122819540091,0.593,0.027,0,"Neoblast","SMED30024735"
"SMED30000270",0,1.07052175732973,0.979,0.663,0,"Neoblast","SMED30000270"
"SMED30020925",0,1.07044426024364,0.957,0.592,0,"Neoblast","SMED30020925"
"SMED30023430",0,1.06868811910087,0.982,0.678,0,"Neoblast","SMED30023430"
"SMED30036024",0,1.06867272693621,0.659,0.065,0,"Neoblast","SMED30036024"
"SMED30003249",0,1.06653893628235,0.936,0.551,0,"Neoblast","SMED30003249"
"SMED30016021",0,1.06394138078684,0.685,0.087,0,"Neoblast","SMED30016021"
"SMED30035373",0,1.05163409169591,0.974,0.709,0,"Neoblast","SMED30035373"
"SMED30005171",0,1.05061188924459,0.999,0.916,0,"Neoblast","SMED30005171"
"SMED30009415",0,1.04941866627153,0.588,0.039,0,"Neoblast","SMED30009415"
"SMED30021142",0,1.04847832567922,0.959,0.605,0,"Neoblast","SMED30021142"
"SMED30019097",0,1.0483611538796,0.628,0.132,0,"Neoblast","SMED30019097"
"SMED30013237",0,1.04441633346579,0.614,0.044,0,"Neoblast","SMED30013237"
"SMED30029634",0,1.03588032220271,0.63,0.046,0,"Neoblast","SMED30029634"
"SMED30016227",0,1.03568383677296,0.641,0.061,0,"Neoblast","SMED30016227"
"SMED30003006",0,1.03459339611564,0.724,0.146,0,"Neoblast","SMED30003006"
"SMED30024468",0,1.03274924731001,0.583,0.032,0,"Neoblast","SMED30024468"
"SMED30024600",0,1.03269400615574,0.942,0.51,0,"Neoblast","SMED30024600"
"SMED30014136",0,1.032117360621,0.591,0.039,0,"Neoblast","SMED30014136"
"SMED30022627",0,1.03093086586043,0.778,0.237,0,"Neoblast","SMED30022627"
"SMED30029980",0,1.02982256243773,0.593,0.053,0,"Neoblast","SMED30029980"
"SMED30028428",0,1.02336592645497,0.661,0.099,0,"Neoblast","SMED30028428"
"SMED30032258",0,1.0207340419383,0.606,0.05,0,"Neoblast","SMED30032258"
"SMED30010074",0,1.01882977912316,0.839,0.29,0,"Neoblast","SMED30010074"
"SMED30011516",0,1.01508011018694,0.61,0.049,0,"Neoblast","SMED30011516"
"SMED30025757",0,1.01349162680067,0.95,0.44,0,"Neoblast","SMED30025757"
"SMED30016181",0,1.0107892616297,0.634,0.064,0,"Neoblast","SMED30016181"
"SMED30000949",0,1.00219575644921,0.263,0.014,0,"Neoblast","SMED30000949"
"SMED30004470",0,0.999806280373622,0.711,0.136,0,"Neoblast","SMED30004470"
"SMED30007929",0,0.997671198909018,0.654,0.098,0,"Neoblast","SMED30007929"
"SMED30004532",0,0.988856094080628,0.981,0.696,0,"Neoblast","SMED30004532"
"SMED30034338",0,0.981756711044162,0.591,0.041,0,"Neoblast","SMED30034338"
"SMED30003920",0,0.976008494757997,0.831,0.294,0,"Neoblast","SMED30003920"
"SMED30034335",0,0.974224580954468,0.849,0.317,0,"Neoblast","SMED30034335"
"SMED30025981",0,0.97344060164975,0.598,0.046,0,"Neoblast","SMED30025981"
"SMED30002877",0,0.97253662054105,0.558,0.086,0,"Neoblast","SMED30002877"
"SMED30029911",0,0.972235767736844,0.968,0.633,0,"Neoblast","SMED30029911"
"SMED30034512",0,0.968626405633251,0.973,0.666,0,"Neoblast","SMED30034512"
"SMED30012234",0,0.965543797338938,0.667,0.137,0,"Neoblast","SMED30012234"
"SMED30005802",0,0.964133709147486,0.752,0.237,0,"Neoblast","SMED30005802"
"SMED30031447",0,0.956490941640001,0.666,0.096,0,"Neoblast","SMED30031447"
"SMED30005428",0,0.956312158973447,0.916,0.48,0,"Neoblast","SMED30005428"
"SMED30012534",0,0.955884467562068,0.926,0.485,0,"Neoblast","SMED30012534"
"SMED30015698",0,0.949769639918284,0.774,0.241,0,"Neoblast","SMED30015698"
"SMED30017135",0,0.948074143377972,0.913,0.445,0,"Neoblast","SMED30017135"
"SMED30028415",0,0.947317800439257,0.634,0.081,0,"Neoblast","SMED30028415"
"SMED30030013",0,0.937409201377333,0.97,0.696,0,"Neoblast","SMED30030013"
"SMED30010124",0,0.933433793802717,0.955,0.625,0,"Neoblast","SMED30010124"
"SMED30017114",0,0.932422421358919,0.998,0.891,0,"Neoblast","SMED30017114"
"SMED30020370",0,0.932406528249526,0.926,0.534,0,"Neoblast","SMED30020370"
"SMED30025331",0,0.932257361439956,0.896,0.466,0,"Neoblast","SMED30025331"
"SMED30022447",0,0.930218619779983,0.752,0.216,0,"Neoblast","SMED30022447"
"SMED30003586",0,0.929297735522008,0.817,0.308,0,"Neoblast","SMED30003586"
"SMED30020652",0,0.929232200394204,0.728,0.194,0,"Neoblast","SMED30020652"
"SMED30033191",0,0.928903417451782,0.871,0.356,0,"Neoblast","SMED30033191"
"SMED30026445",0,0.928143299574091,0.668,0.184,0,"Neoblast","SMED30026445"
"SMED30030466",0,0.927378962887687,0.739,0.211,0,"Neoblast","SMED30030466"
"SMED30006361",0,0.924188991139888,0.745,0.178,0,"Neoblast","SMED30006361"
"SMED30027909",0,0.924160897780281,0.542,0.039,0,"Neoblast","SMED30027909"
"SMED30025245",0,0.921257842613429,0.557,0.042,0,"Neoblast","SMED30025245"
"SMED30017670",0,0.91842614342786,0.752,0.199,0,"Neoblast","SMED30017670"
"SMED30016090",0,0.917169798503984,0.94,0.561,0,"Neoblast","SMED30016090"
"SMED30031080",0,0.913527168226049,0.897,0.385,0,"Neoblast","SMED30031080"
"SMED30016351",0,0.912470551170836,0.697,0.162,0,"Neoblast","SMED30016351"
"SMED30001026",0,0.911756899439829,0.786,0.31,0,"Neoblast","SMED30001026"
"SMED30000310",0,0.908554317660959,0.658,0.116,0,"Neoblast","SMED30000310"
"SMED30025885",0,0.906870847058484,0.515,0.03,0,"Neoblast","SMED30025885"
"SMED30033365",0,0.905985962085291,0.81,0.286,0,"Neoblast","SMED30033365"
"SMED30007916",0,0.905600258855773,0.611,0.066,0,"Neoblast","SMED30007916"
"SMED30028625",0,0.901306999827431,0.544,0.041,0,"Neoblast","SMED30028625"
"SMED30012017",0,0.897843885434396,0.61,0.138,0,"Neoblast","SMED30012017"
"SMED30034829",0,0.896123336787115,0.53,0.035,0,"Neoblast","SMED30034829"
"SMED30005823",0,0.895999391586836,0.679,0.122,0,"Neoblast","SMED30005823"
"SMED30004988",0,0.895929718179573,0.576,0.053,0,"Neoblast","SMED30004988"
"SMED30007662",0,0.894377402405609,0.825,0.33,0,"Neoblast","SMED30007662"
"SMED30026225",0,0.890866320013743,0.999,0.929,0,"Neoblast","SMED30026225"
"SMED30019623",0,0.889685483441017,0.967,0.679,0,"Neoblast","SMED30019623"
"SMED30024374",0,0.889203602452355,0.825,0.326,0,"Neoblast","SMED30024374"
"SMED30019647",0,0.888309993529842,0.59,0.07,0,"Neoblast","SMED30019647"
"SMED30020054",0,0.885653774992796,0.882,0.426,0,"Neoblast","SMED30020054"
"SMED30010457",0,0.884389674249903,0.987,0.772,0,"Neoblast","SMED30010457"
"SMED30019508",0,0.883199660056592,0.883,0.382,0,"Neoblast","SMED30019508"
"SMED30020070",0,0.882585699548088,0.998,0.893,0,"Neoblast","SMED30020070"
"SMED30018968",0,0.880633398275649,0.761,0.211,0,"Neoblast","SMED30018968"
"SMED30025467",0,0.878800439873642,0.968,0.736,0,"Neoblast","SMED30025467"
"SMED30025330",0,0.875936200444871,0.818,0.323,0,"Neoblast","SMED30025330"
"SMED30009941",0,0.874845684795889,0.848,0.352,0,"Neoblast","SMED30009941"
"SMED30014413",0,0.872381430406563,0.979,0.739,0,"Neoblast","SMED30014413"
"SMED30020565",0,0.871844457597001,0.883,0.407,0,"Neoblast","SMED30020565"
"SMED30022491",0,0.869170499757273,0.585,0.066,0,"Neoblast","SMED30022491"
"SMED30017222",0,0.868862255852427,0.676,0.147,0,"Neoblast","SMED30017222"
"SMED30026247",0,0.867927219809097,0.533,0.05,0,"Neoblast","SMED30026247"
"SMED30015999",0,0.865919420164923,0.51,0.022,0,"Neoblast","SMED30015999"
"SMED30027701",0,0.864401079164882,0.943,0.555,0,"Neoblast","SMED30027701"
"SMED30029763",0,0.863096870728758,0.999,0.937,0,"Neoblast","SMED30029763"
"SMED30015533",0,0.861693289291362,0.824,0.3,0,"Neoblast","SMED30015533"
"SMED30021313",0,0.859401581737198,0.666,0.149,0,"Neoblast","SMED30021313"
"SMED30006638",0,0.85907791215796,0.906,0.526,0,"Neoblast","SMED30006638"
"SMED30013212",0,0.858798625719967,0.995,0.783,0,"Neoblast","SMED30013212"
"SMED30034697",0,0.8568252873003,0.959,0.663,0,"Neoblast","SMED30034697"
"SMED30018953",0,0.85662473091935,0.898,0.441,0,"Neoblast","SMED30018953"
"SMED30014815",0,0.856135371606039,0.849,0.392,0,"Neoblast","SMED30014815"
"SMED30023910",0,0.85308659831177,0.794,0.262,0,"Neoblast","SMED30023910"
"SMED30009928",0,0.852224039438842,0.904,0.454,0,"Neoblast","SMED30009928"
"SMED30018954",0,0.85210318559121,0.953,0.624,0,"Neoblast","SMED30018954"
"SMED30017941",0,0.850290138118198,0.936,0.594,0,"Neoblast","SMED30017941"
"SMED30023189",0,0.846663179809438,0.773,0.247,0,"Neoblast","SMED30023189"
"SMED30010355",0,0.845450629515363,0.726,0.204,0,"Neoblast","SMED30010355"
"SMED30019057",0,0.842563237896339,0.876,0.368,0,"Neoblast","SMED30019057"
"SMED30015042",0,0.841919277730047,0.907,0.509,0,"Neoblast","SMED30015042"
"SMED30006591",0,0.840034058362861,0.787,0.259,0,"Neoblast","SMED30006591"
"SMED30021402",0,0.837631460793514,0.513,0.03,0,"Neoblast","SMED30021402"
"SMED30022027",0,0.836887820778789,0.804,0.275,0,"Neoblast","SMED30022027"
"SMED30001661",0,0.836571607820321,0.804,0.289,0,"Neoblast","SMED30001661"
"SMED30013699",0,0.836388075754357,0.978,0.792,0,"Neoblast","SMED30013699"
"SMED30025222",0,0.834864138672022,0.702,0.183,0,"Neoblast","SMED30025222"
"SMED30010219",0,0.834309219309795,0.824,0.327,0,"Neoblast","SMED30010219"
