"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
"SMED30007406",0,2.81122035950097,0.997,0.392,0,"Neoblast","SMED30007406"
"SMED30030234",0,2.36419350282953,0.953,0.283,0,"Neoblast","SMED30030234"
"SMED30033565",0,2.34135354823057,0.911,0.097,0,"Neoblast","SMED30033565"
"SMED30031463",0,2.24066170281071,0.962,0.376,0,"Neoblast","SMED30031463"
"SMED30010297",0,2.13855649246543,0.877,0.073,0,"Neoblast","SMED30010297"
"SMED30021808",0,2.13630187016719,0.857,0.073,0,"Neoblast","SMED30021808"
"SMED30022444",0,2.08620686100955,0.942,0.268,0,"Neoblast","SMED30022444"
"SMED30029973",0,1.90021969330176,0.895,0.183,0,"Neoblast","SMED30029973"
"SMED30002436",0,1.8725655759563,0.814,0.056,0,"Neoblast","SMED30002436"
"SMED30032563",0,1.85912668747293,0.811,0.073,0,"Neoblast","SMED30032563"
"SMED30019803",0,1.8322638929757,0.998,0.741,0,"Neoblast","SMED30019803"
"SMED30030946",0,1.81405439565596,0.768,0.04,0,"Neoblast","SMED30030946"
"SMED30017680",0,1.77200580256696,0.747,0.05,0,"Neoblast","SMED30017680"
"SMED30027562",0,1.75953535519896,0.938,0.397,0,"Neoblast","SMED30027562"
"SMED30004304",0,1.73575509051303,0.787,0.064,0,"Neoblast","SMED30004304"
"SMED30033600",0,1.64059387466821,0.735,0.055,0,"Neoblast","SMED30033600"
"SMED30023062",0,1.63645219311525,0.949,0.362,0,"Neoblast","SMED30023062"
"SMED30025780",0,1.63019460669201,0.874,0.144,0,"Neoblast","SMED30025780"
"SMED30012293",0,1.63003910932107,0.946,0.375,0,"Neoblast","SMED30012293"
"SMED30032645",0,1.6270982725536,0.969,0.464,0,"Neoblast","SMED30032645"
"SMED30012458",0,1.62484700004385,0.732,0.05,0,"Neoblast","SMED30012458"
"SMED30019011",0,1.61480802089983,0.755,0.063,0,"Neoblast","SMED30019011"
"SMED30034520",0,1.60286811087108,0.796,0.087,0,"Neoblast","SMED30034520"
"SMED30006979",0,1.59710353774194,0.712,0.046,0,"Neoblast","SMED30006979"
"SMED30030295",0,1.59367962664205,0.77,0.067,0,"Neoblast","SMED30030295"
"SMED30010115",0,1.58364080163321,0.88,0.172,0,"Neoblast","SMED30010115"
"SMED30023821",0,1.53164912264865,0.702,0.048,0,"Neoblast","SMED30023821"
"SMED30018987",0,1.52092869671881,0.681,0.031,0,"Neoblast","SMED30018987"
"SMED30015686",0,1.51267516856595,0.868,0.215,0,"Neoblast","SMED30015686"
"SMED30014394",0,1.50928442814705,0.709,0.043,0,"Neoblast","SMED30014394"
"SMED30035193",0,1.45087365390576,1,0.953,0,"Neoblast","SMED30035193"
"SMED30029741",0,1.448434012336,0.941,0.399,0,"Neoblast","SMED30029741"
"SMED30004593",0,1.42348535933999,0.679,0.044,0,"Neoblast","SMED30004593"
"SMED30033663",0,1.41864975092618,0.68,0.047,0,"Neoblast","SMED30033663"
"SMED30012735",0,1.41683443753276,0.666,0.05,0,"Neoblast","SMED30012735"
"SMED30022978",0,1.39666194415867,0.906,0.331,0,"Neoblast","SMED30022978"
"SMED30031782",0,1.38357768778719,0.79,0.121,0,"Neoblast","SMED30031782"
"SMED30014446",0,1.38296132599966,0.999,0.892,0,"Neoblast","SMED30014446"
"SMED30027258",0,1.37997185384001,0.846,0.205,0,"Neoblast","SMED30027258"
"SMED30004136",0,1.3750704555654,0.69,0.056,0,"Neoblast","SMED30004136"
