	muscle DV	muscle body 1	muscle body 2	muscle genital	muscle pharynx
SMED30023573	0.0040668207	0.27443865	1.0	0.025807116	0.0
SMED30008639	0.0063928817	0.2773113	1.0	0.00517063	0.0
SMED30025723	0.0067325677	0.27941895	1.0	0.02609318	0.0
SMED30016686	0.0	0.008021833	1.0	0.0026367109	0.0008674544
SMED30019740	0.0	1.0	0.024914261	0.42439085	0.14503706
SMED30002349	1.0	0.0	0.011011541	0.007968709	0.27750787
SMED30002616	1.0	0.0	0.05207102	0.002541773	0.014049521
SMED30022812	0.0	0.031143114	0.29778686	1.0	0.14042616
SMED30017714	0.033816475	0.0	0.007820824	0.31112713	1.0
SMED30019102	0.06625175	1.0	0.0	0.0	0.0
SMED30018614	0.2230274	1.0	0.048111457	0.014053812	0.0
SMED30026932	0.009644798	1.0	0.0	0.8457535	0.09001132
SMED30018309	0.0	1.0	0.0059569287	0.00662497	0.44317916
SMED30017664	0.0	0.2853416	1.0	0.10014909	0.011095009
SMED30018205	0.0	0.33320335	1.0	0.07632493	0.24419093
SMED30015232	0.119345166	0.03275599	1.0	0.35051322	0.0
SMED30024125	0.0	0.20167024	1.0	0.08127909	0.27530858
SMED30024778	0.9334396	0.0	0.009462245	1.0	0.10509781
SMED30028312	1.0	0.004468275	0.021968402	0.0	0.056140814
SMED30028043	1.0	0.01155879	0.01691486	0.0	0.024060115
SMED30015191	1.0	0.011514686	0.020510364	0.016436739	0.0
SMED30015345	0.0	0.0	0.0	1.0	0.038273882
SMED30004154	0.009420411	0.009971591	0.0	1.0	0.012542485
SMED30025680	0.058034517	0.0	0.08643376	0.31286708	1.0
SMED30004868	0.008574366	0.0065624104	0.0	0.023591595	1.0
