	muscle DV	muscle body 1	muscle body 2	muscle genital	muscle pharynx
snail	0.0040668207	0.27443865	1.0	0.025807116	0.0
myod	0.0063928817	0.2773113	1.0	0.00517063	0.0
lbx1	0.0067325677	0.27941895	1.0	0.02609318	0.0
nkx6-2	0.0	0.008021833	1.0	0.0026367109	0.0008674544
nkx1-1	0.0	1.0	0.024914261	0.42439085	0.14503706
gata4/5/6-2	1.0	0.0	0.011011541	0.007968709	0.27750787
nk4	1.0	0.0	0.05207102	0.002541773	0.014049521
ptprd	0.0	0.031143114	0.29778686	1.0	0.14042616
hspg2	0.033816475	0.0	0.007820824	0.31112713	1.0
SMED19102	0.06625175	1.0	0.0	0.0	0.0
SMED18614	0.2230274	1.0	0.048111457	0.014053812	0.0
nog	0.009644798	1.0	0.0	0.8457535	0.09001132
irx4	0.0	1.0	0.0059569287	0.00662497	0.44317916
anos1	0.0	0.2853416	1.0	0.10014909	0.011095009
jag1	0.0	0.33320335	1.0	0.07632493	0.24419093
ntn1	0.119345166	0.03275599	1.0	0.35051322	0.0
otop2	0.0	0.20167024	1.0	0.08127909	0.27530858
sbspon	0.9334396	0.0	0.009462245	1.0	0.10509781
ptprs	1.0	0.004468275	0.021968402	0.0	0.056140814
atx1l	1.0	0.01155879	0.01691486	0.0	0.024060115
six6	1.0	0.011514686	0.020510364	0.016436739	0.0
tpm1	0.0	0.0	0.0	1.0	0.038273882
rorb	0.009420411	0.009971591	0.0	1.0	0.012542485
kalm	0.058034517	0.0	0.08643376	0.31286708	1.0
neurod-2	0.008574366	0.0065624104	0.0	0.023591595	1.0
