	C0	C1	C10	C11	C12	C13	C14	C15	C16	C17	C18	C19	C2	C20	C21	C22	C23	C24	C25	C26	C3	C4	C5	C6	C7	C8	C9
cml13	0.0004622627	0.00042572065	0.0026124557	0.04457704	0.070734374	0.004179815	0.010297161	0.0	0.0038572391	0.0532166	0.0	0.78583294	0.0034974648	0.13701463	0.020491023	0.03504126	0.0	0.0	0.01005845	0.0	0.028505914	0.0015502628	0.03092525	0.001780709	0.008887116	0.0011069009	0.05010601
capns1a	0.059877828	0.06532216	0.05474528	0.2901165	0.30750284	0.061822698	0.07502453	0.047862004	0.05599636	0.35116485	0.10350897	1.9853902	0.09365809	0.63861275	0.1482829	0.23965444	0.065428555	0.03448891	0.089883775	0.051920798	0.39292553	0.080829896	0.23152016	0.07475618	0.09260935	0.06930953	0.23396337
smed14371	0.01107612	0.0032367243	0.032818392	0.14163369	0.078679934	0.02475762	0.041622773	0.010205083	0.010229624	0.17303813	0.02268306	0.6324363	0.009856419	0.20995086	0.013158679	0.12975505	0.06915501	0.016521683	0.036201417	0.07271599	0.1688899	0.049012527	0.13511264	0.006456787	0.009209167	0.05602414	0.07895969
smed3403	0.044857167	0.01975128	0.014105049	0.03221027	0.111499764	0.036485415	0.11061859	0.0148042785	0.04197528	0.033992354	0.028101265	0.64143294	0.056660984	0.12438524	0.052949455	0.07254709	0.064845145	0.022750784	0.029218333	0.02493235	0.05802539	0.029850055	0.053730745	0.02928862	0.28248963	0.026338253	0.14443833
runt1	0.30540836	0.0068969866	0.05354452	0.036000416	0.05112201	0.06573657	0.06587502	0.009647305	0.10181743	0.0	0.0	0.03326821	0.09765511	0.09016696	0.13687354	0.19994952	0.0	0.0	0.09785712	0.0	0.0031241607	0.008044741	0.001528157	0.0076470887	1.2848246	0.014286521	0.060201813
X1.A5.1	0.83045805	0.6613366	0.5044745	1.0167197	1.008202	0.8297228	0.89814967	0.9556156	0.5794668	1.1177288	0.4012379	2.769681	0.87548196	1.2364693	0.91758525	1.142277	0.2717343	0.7371801	0.5485252	0.62440157	1.1633749	0.50407827	1.1352046	0.63014853	2.2580905	0.80085146	0.88769233
egr4	0.13006508	0.10258336	0.07970111	0.112468705	0.20652685	0.13855988	0.42200348	0.14096692	0.10515359	0.14755483	0.2099394	1.0575701	0.24476507	0.30341282	0.31720558	0.29549053	0.39056197	0.054810878	0.12072113	0.19750331	0.14031748	0.14786898	0.06765144	0.10675963	0.94448406	0.1859193	0.86213934
smed30310	0.04530501	0.029924281	0.050739	0.011217446	0.019354938	0.0400121	0.13501112	0.03011383	0.04767082	0.06152368	0.019042429	0.20077755	0.08832809	0.13409054	0.12497262	0.034390517	0.02549757	0.0104217185	0.052741025	0.018521955	0.031578902	0.13459861	0.047241814	0.010218024	0.39409965	0.13665074	0.15735985
tob2	0.8641376	0.602127	0.20138404	0.50251275	0.7117342	0.614368	0.7722765	0.8777533	0.7841226	0.6552484	0.7997021	1.8909204	0.81693304	0.7898781	0.7395188	0.5264104	0.43476152	0.46163332	0.39130566	0.50484556	0.6367993	0.52907103	0.54177094	0.515436	1.6292343	0.7024605	1.0335239
pdzrn4	0.24998154	0.07441268	0.14042218	0.08202216	0.3784243	0.11703356	0.7355119	0.5478434	0.30475056	0.47321668	0.69998246	1.189201	0.5916052	0.34964266	0.39424962	0.32202697	0.055433076	0.07299815	0.15891759	0.3597162	0.17448296	0.0765202	0.2222119	0.11152077	1.0228097	0.29330364	0.6785989
hspa5	1.6543232	1.6144775	1.4117548	1.5468736	1.763756	1.7906716	1.6544979	1.399051	1.5929855	1.8154442	1.6348615	2.2660773	2.0786521	2.125419	2.0435023	2.097012	1.6264933	1.7160549	1.9999074	1.3450352	1.7275949	1.5977997	1.7076049	1.5452989	2.2497036	1.6285055	1.7437596
smed25384	0.18136233	0.06985033	0.06251652	0.20192175	0.3378029	0.0990099	0.19141571	0.14024548	0.16258067	0.15042175	0.06772409	0.8007263	0.31139076	0.19429572	0.23752013	0.18717442	0.04259855	0.05899564	0.1099182	0.033207312	0.193381	0.058524027	0.082142666	0.043845177	0.40664753	0.13620083	0.15764312
osr2	0.030901028	0.001401872	0.018111592	0.0	0.006984118	0.021651968	0.0	0.3123818	0.0050636698	0.07188405	0.003669249	0.029847868	0.013271398	0.032928027	0.034792334	0.026957069	0.0	0.0	0.06735237	0.0	0.013995757	0.09739622	0.0053007705	0.010195726	0.05024854	0.11711702	0.0059513277
2dbd	0.018246403	0.001708872	0.00564554	0.0	0.00854073	0.0054188045	0.09338731	0.14315729	0.0064824875	0.03755232	0.0	0.036406554	0.006536942	0.021195354	0.020267397	0.0115248645	0.0	0.009362184	0.0	0.0	0.023994505	0.002746323	0.016458452	0.009938126	0.027649393	0.0010437017	0.04647323
