	C0	C1	C10	C11	C12	C13	C14	C15	C16	C17	C18	C19	C2	C20	C21	C22	C23	C24	C25	C26	C3	C4	C5	C6	C7	C8	C9
cml13	0.0005882455	0.00054174446	0.0033244416	0.05672585	0.09001198	0.005318961	0.013103498	0.0	0.0049084723	0.06771999	0.0	1.0	0.0044506467	0.17435592	0.026075546	0.044591237	0.0	0.0	0.0127997305	0.0	0.036274776	0.0019727638	0.039353468	0.0022660147	0.011309166	0.0014085702	0.06376166
capns1a	0.013013943	0.015804619	0.0103830835	0.1310305	0.13994245	0.014010852	0.020777894	0.0068548294	0.011024366	0.1623229	0.035378553	1.0	0.030329151	0.30966398	0.058328934	0.10516449	0.015859155	0.0	0.0283945	0.008935301	0.18372872	0.02375363	0.10099499	0.020640343	0.029791586	0.01784848	0.102247335
smed14371	0.012459315	0.0	0.04701476	0.21995719	0.11990347	0.034203608	0.061007746	0.011074957	0.011113961	0.2698689	0.030906467	1.0	0.010520819	0.32853508	0.01576917	0.2010782	0.1047653	0.021114063	0.052391473	0.11042485	0.26327604	0.07275244	0.20959315	0.005117713	0.009492128	0.08389614	0.12034809
smed3403	0.049020804	0.009000447	0.0	0.028860861	0.15525328	0.03567571	0.15384863	0.0011146157	0.044426892	0.03170161	0.022310846	1.0	0.06783683	0.17579353	0.061920416	0.09316028	0.08088289	0.013781843	0.024091521	0.017259395	0.07001178	0.025098527	0.06316584	0.024203563	0.42782182	0.019500494	0.20775941
runt1	0.23770432	0.0053680376	0.041674577	0.028019711	0.039789096	0.05116385	0.051271606	0.007508655	0.07924617	0.0	0.0	0.02589319	0.07600657	0.07017842	0.10653092	0.15562397	0.0	0.0	0.07616379	0.0	0.0024315855	0.0062613534	0.0011893896	0.0059518544	1.0	0.011119433	0.046856053
X1.A5.1	0.22367321	0.15596902	0.09317261	0.2982391	0.29482922	0.22337887	0.25077212	0.27377737	0.12319419	0.33867598	0.051844023	1.0	0.24169758	0.3862112	0.25855273	0.34850332	0.0	0.18633136	0.110807374	0.14118287	0.35694942	0.09301398	0.345672	0.14348353	0.7951956	0.21182084	0.24658574
egr4	0.07504713	0.047641035	0.024821743	0.057499174	0.1512985	0.08351855	0.3661822	0.08591897	0.050204188	0.09248875	0.15470167	1.0	0.1894315	0.24791789	0.26167268	0.24001738	0.3348272	0.0	0.06572889	0.1422998	0.08527132	0.09280203	0.012805233	0.05180581	0.88722515	0.13074766	0.805107
smed30310	0.091400534	0.051334202	0.105555914	0.0026034636	0.023801383	0.07761266	0.32508224	0.051827967	0.09756339	0.13364968	0.022987306	0.4964018	0.20347436	0.32268417	0.29893222	0.06296861	0.039802756	0.00053061725	0.11077113	0.021631489	0.055644438	0.32400766	0.09644585	0.0	1.0	0.3293534	0.3833
tob2	0.3922695	0.2371911	0.0	0.17823157	0.3020652	0.24443628	0.33789888	0.40032837	0.34491032	0.2686325	0.35413155	1.0	0.3643301	0.3483169	0.31851035	0.19237608	0.13813108	0.15403593	0.11241049	0.17961231	0.25771287	0.19395085	0.20146763	0.18588056	0.8451137	0.29657632	0.49252558
pdzrn4	0.1715946	0.01674029	0.07496163	0.023451963	0.284883	0.054332536	0.5998395	0.43431315	0.21990168	0.3684913	0.568502	1.0	0.47291166	0.2594972	0.29884118	0.23513974	0.0	0.015492654	0.09127486	0.2683822	0.10500374	0.01859915	0.14710137	0.049470168	0.85324043	0.20980532	0.5496414
hspa5	0.3358023	0.29254073	0.072439305	0.21914132	0.4546164	0.48383933	0.3359919	0.058646347	0.2692063	0.51073563	0.31467214	1.0	0.79650754	0.8472834	0.7583444	0.81644136	0.30558664	0.402826	0.71101224	0.0	0.41535524	0.27443314	0.3936516	0.2174317	0.98222274	0.30777124	0.43290576
smed25384	0.19303107	0.04774217	0.038186945	0.21981792	0.39685738	0.08573415	0.20612963	0.13945997	0.16856046	0.15271862	0.044971883	1.0	0.36244506	0.20988198	0.26619902	0.20060365	0.012235837	0.033599596	0.099946566	0.0	0.20869018	0.032985132	0.06375784	0.013860066	0.486555	0.13419019	0.16212735
osr2	0.0989207	0.0044876877	0.057979025	0.0	0.022357633	0.06931251	0.0	1.0	0.016209874	0.230116	0.011746039	0.095549315	0.04248454	0.105409555	0.1113776	0.08629526	0.0	0.0	0.21560913	0.0	0.04480337	0.31178582	0.016968884	0.032638665	0.16085617	0.37491626	0.019051455
2dbd	0.12745704	0.011937024	0.039435923	0.0	0.059659764	0.037852105	0.6523406	1.0	0.045282274	0.2623151	0.0	0.25431156	0.045662656	0.1480564	0.14157432	0.08050491	0.0	0.06539789	0.0	0.0	0.1676094	0.019183954	0.114967614	0.06942103	0.19313996	0.007290594	0.32463056
